2025-10-07 17:09:05,758 - INFO: --- Training Interval[0]: (-4.0, -2.94140625) ---
2025-10-07 17:09:05,762 - INFO:   Interval 0, Epoch    0, Loss: 0.000993, LR: 1.00e-03
2025-10-07 17:09:06,617 - INFO:   Interval 0, Epoch  500, Loss: 0.000380, LR: 9.75e-04
2025-10-07 17:09:07,471 - INFO:   Interval 0, Epoch 1000, Loss: 0.000380, LR: 9.04e-04
2025-10-07 17:09:08,310 - INFO:   Interval 0, Epoch 1500, Loss: 0.000381, LR: 7.94e-04
2025-10-07 17:09:09,063 - INFO:   Interval 0, Epoch 2000, Loss: 0.000379, LR: 6.55e-04
2025-10-07 17:09:09,854 - INFO:   Interval 0, Epoch 2500, Loss: 0.000384, LR: 5.00e-04
2025-10-07 17:09:10,567 - INFO:   Interval 0, Epoch 3000, Loss: 0.000380, LR: 3.46e-04
2025-10-07 17:09:11,338 - INFO:   Interval 0, Epoch 3500, Loss: 0.000379, LR: 2.07e-04
2025-10-07 17:09:12,157 - INFO:   Interval 0, Epoch 4000, Loss: 0.000379, LR: 9.62e-05
2025-10-07 17:09:12,918 - INFO:   Interval 0, Epoch 4500, Loss: 0.000379, LR: 2.54e-05
2025-10-07 17:09:13,745 - INFO:   Interval 0, Epoch 4999, Loss: 0.000379, LR: 1.00e-06
2025-10-07 17:09:13,745 - INFO: --- Training Interval[1]: (-2.94140625, -2.1015625) ---
2025-10-07 17:09:13,747 - INFO:   Interval 1, Epoch    0, Loss: 0.001598, LR: 1.00e-03
2025-10-07 17:09:14,543 - INFO:   Interval 1, Epoch  500, Loss: 0.001600, LR: 9.75e-04
2025-10-07 17:09:15,304 - INFO:   Interval 1, Epoch 1000, Loss: 0.001600, LR: 9.04e-04
2025-10-07 17:09:16,117 - INFO:   Interval 1, Epoch 1500, Loss: 0.001609, LR: 7.94e-04
2025-10-07 17:09:16,898 - INFO:   Interval 1, Epoch 2000, Loss: 0.001609, LR: 6.55e-04
2025-10-07 17:09:17,732 - INFO:   Interval 1, Epoch 2500, Loss: 0.001609, LR: 5.00e-04
2025-10-07 17:09:18,518 - INFO:   Interval 1, Epoch 3000, Loss: 0.001597, LR: 3.46e-04
2025-10-07 17:09:19,245 - INFO:   Interval 1, Epoch 3500, Loss: 0.001597, LR: 2.07e-04
2025-10-07 17:09:20,013 - INFO:   Interval 1, Epoch 4000, Loss: 0.001597, LR: 9.62e-05
2025-10-07 17:09:20,859 - INFO:   Interval 1, Epoch 4500, Loss: 0.001597, LR: 2.54e-05
2025-10-07 17:09:21,689 - INFO:   Interval 1, Epoch 4999, Loss: 0.001597, LR: 1.00e-06
2025-10-07 17:09:21,689 - INFO: --- Training Interval[2]: (-2.1015625, -0.78125) ---
2025-10-07 17:09:21,691 - INFO:   Interval 2, Epoch    0, Loss: 0.002366, LR: 1.00e-03
2025-10-07 17:09:22,480 - INFO:   Interval 2, Epoch  500, Loss: 0.002386, LR: 9.75e-04
2025-10-07 17:09:23,272 - INFO:   Interval 2, Epoch 1000, Loss: 0.002386, LR: 9.04e-04
2025-10-07 17:09:24,034 - INFO:   Interval 2, Epoch 1500, Loss: 0.002386, LR: 7.94e-04
2025-10-07 17:09:24,887 - INFO:   Interval 2, Epoch 2000, Loss: 0.002386, LR: 6.55e-04
2025-10-07 17:09:25,644 - INFO:   Interval 2, Epoch 2500, Loss: 0.002386, LR: 5.00e-04
