2025-10-17 10:47:36,735 - INFO: --- Training Interval[0]: (-6.0, -5.25) ---
2025-10-17 10:47:36,737 - INFO:   Interval 0, Epoch    0, Loss: 2.227e-03, LR: 1.00e-03
2025-10-17 10:47:37,537 - INFO:   Interval 0, Epoch  500, Loss: 1.679e-03, LR: 9.75e-04
2025-10-17 10:47:38,356 - INFO:   Interval 0, Epoch 1000, Loss: 2.227e-03, LR: 9.04e-04
2025-10-17 10:47:39,154 - INFO:   Interval 0, Epoch 1500, Loss: 2.227e-03, LR: 7.94e-04
2025-10-17 10:47:39,958 - INFO:   Interval 0, Epoch 2000, Loss: 2.227e-03, LR: 6.55e-04
2025-10-17 10:47:40,732 - INFO:   Interval 0, Epoch 2500, Loss: 1.679e-03, LR: 5.00e-04
2025-10-17 10:47:41,595 - INFO:   Interval 0, Epoch 3000, Loss: 1.679e-03, LR: 3.46e-04
2025-10-17 10:47:42,379 - INFO:   Interval 0, Epoch 3500, Loss: 1.639e-02, LR: 2.07e-04
2025-10-17 10:47:43,330 - INFO:   Interval 0, Epoch 4000, Loss: 5.585e-03, LR: 9.62e-05
2025-10-17 10:47:44,204 - INFO:   Interval 0, Epoch 4500, Loss: 5.585e-03, LR: 2.54e-05
2025-10-17 10:47:45,118 - INFO:   Interval 0, Epoch 4999, Loss: 1.639e-02, LR: 1.00e-06
2025-10-17 10:47:45,118 - INFO: --- Training Interval[1]: (-5.25, -3.8125) ---
2025-10-17 10:47:45,120 - INFO:   Interval 1, Epoch    0, Loss: 1.610e-03, LR: 1.00e-03
2025-10-17 10:47:45,984 - INFO:   Interval 1, Epoch  500, Loss: 1.610e-03, LR: 9.75e-04
2025-10-17 10:47:46,806 - INFO:   Interval 1, Epoch 1000, Loss: 9.398e-03, LR: 9.04e-04
2025-10-17 10:47:47,642 - INFO:   Interval 1, Epoch 1500, Loss: 1.330e-02, LR: 7.94e-04
2025-10-17 10:47:48,466 - INFO:   Interval 1, Epoch 2000, Loss: 4.396e-03, LR: 6.55e-04
2025-10-17 10:47:49,293 - INFO:   Interval 1, Epoch 2500, Loss: 1.330e-02, LR: 5.00e-04
2025-10-17 10:47:50,142 - INFO:   Interval 1, Epoch 3000, Loss: 1.721e-02, LR: 3.46e-04
2025-10-17 10:47:50,900 - INFO:   Interval 1, Epoch 3500, Loss: 4.396e-03, LR: 2.07e-04
2025-10-17 10:47:51,629 - INFO:   Interval 1, Epoch 4000, Loss: 1.721e-02, LR: 9.62e-05
2025-10-17 10:47:52,411 - INFO:   Interval 1, Epoch 4500, Loss: 4.396e-03, LR: 2.54e-05
2025-10-17 10:47:53,288 - INFO:   Interval 1, Epoch 4999, Loss: 4.396e-03, LR: 1.00e-06
2025-10-17 10:47:53,289 - INFO: --- Training Interval[2]: (-3.8125, -2.84375) ---
2025-10-17 10:47:53,291 - INFO:   Interval 2, Epoch    0, Loss: 3.224e-03, LR: 1.00e-03
2025-10-17 10:47:54,044 - INFO:   Interval 2, Epoch  500, Loss: 1.412e-03, LR: 9.75e-04
