2025-10-17 10:45:05,672 - INFO: --- Training Interval[0]: (-4.0, -2.94140625) ---
2025-10-17 10:45:05,675 - INFO:   Interval 0, Epoch    0, Loss: 1.174e-03, LR: 1.00e-03
2025-10-17 10:45:06,565 - INFO:   Interval 0, Epoch  500, Loss: 4.035e-04, LR: 9.75e-04
2025-10-17 10:45:07,351 - INFO:   Interval 0, Epoch 1000, Loss: 4.395e-04, LR: 9.04e-04
2025-10-17 10:45:08,166 - INFO:   Interval 0, Epoch 1500, Loss: 4.035e-04, LR: 7.94e-04
2025-10-17 10:45:08,933 - INFO:   Interval 0, Epoch 2000, Loss: 4.395e-04, LR: 6.55e-04
2025-10-17 10:45:09,713 - INFO:   Interval 0, Epoch 2500, Loss: 4.190e-04, LR: 5.00e-04
2025-10-17 10:45:10,523 - INFO:   Interval 0, Epoch 3000, Loss: 4.571e-04, LR: 3.46e-04
2025-10-17 10:45:11,297 - INFO:   Interval 0, Epoch 3500, Loss: 4.190e-04, LR: 2.07e-04
2025-10-17 10:45:12,091 - INFO:   Interval 0, Epoch 4000, Loss: 4.571e-04, LR: 9.62e-05
2025-10-17 10:45:12,892 - INFO:   Interval 0, Epoch 4500, Loss: 4.190e-04, LR: 2.54e-05
2025-10-17 10:45:13,786 - INFO:   Interval 0, Epoch 4999, Loss: 4.190e-04, LR: 1.00e-06
2025-10-17 10:45:13,787 - INFO: --- Training Interval[1]: (-2.94140625, -2.1015625) ---
2025-10-17 10:45:13,789 - INFO:   Interval 1, Epoch    0, Loss: 4.276e-03, LR: 1.00e-03
2025-10-17 10:45:14,622 - INFO:   Interval 1, Epoch  500, Loss: 1.609e-03, LR: 9.75e-04
2025-10-17 10:45:15,439 - INFO:   Interval 1, Epoch 1000, Loss: 1.600e-03, LR: 9.04e-04
2025-10-17 10:45:16,243 - INFO:   Interval 1, Epoch 1500, Loss: 1.609e-03, LR: 7.94e-04
2025-10-17 10:45:17,117 - INFO:   Interval 1, Epoch 2000, Loss: 1.597e-03, LR: 6.55e-04
2025-10-17 10:45:17,906 - INFO:   Interval 1, Epoch 2500, Loss: 1.609e-03, LR: 5.00e-04
2025-10-17 10:45:18,676 - INFO:   Interval 1, Epoch 3000, Loss: 1.609e-03, LR: 3.46e-04
2025-10-17 10:45:19,456 - INFO:   Interval 1, Epoch 3500, Loss: 1.597e-03, LR: 2.07e-04
2025-10-17 10:45:20,331 - INFO:   Interval 1, Epoch 4000, Loss: 1.609e-03, LR: 9.62e-05
2025-10-17 10:45:21,176 - INFO:   Interval 1, Epoch 4500, Loss: 1.609e-03, LR: 2.54e-05
2025-10-17 10:45:22,068 - INFO:   Interval 1, Epoch 4999, Loss: 1.597e-03, LR: 1.00e-06
2025-10-17 10:45:22,068 - INFO: --- Training Interval[2]: (-2.1015625, -0.78125) ---
2025-10-17 10:45:22,070 - INFO:   Interval 2, Epoch    0, Loss: 5.196e-03, LR: 1.00e-03
2025-10-17 10:45:22,946 - INFO:   Interval 2, Epoch  500, Loss: 2.386e-03, LR: 9.75e-04
2025-10-17 10:45:23,718 - INFO:   Interval 2, Epoch 1000, Loss: 2.438e-03, LR: 9.04e-04
2025-10-17 10:45:24,486 - INFO:   Interval 2, Epoch 1500, Loss: 2.378e-03, LR: 7.94e-04
2025-10-17 10:45:25,275 - INFO:   Interval 2, Epoch 2000, Loss: 2.438e-03, LR: 6.55e-04
2025-10-17 10:45:26,000 - INFO:   Interval 2, Epoch 2500, Loss: 2.438e-03, LR: 5.00e-04
