2025-10-17 10:42:15,495 - INFO: --- Training Interval[0]: (-8.0, -5.890625) ---
2025-10-17 10:42:15,498 - INFO:   Interval 0, Epoch    0, Loss: 1.692e-04, LR: 1.00e-03
2025-10-17 10:42:16,346 - INFO:   Interval 0, Epoch  500, Loss: 1.588e-03, LR: 9.75e-04
2025-10-17 10:42:17,070 - INFO:   Interval 0, Epoch 1000, Loss: 3.513e-04, LR: 9.04e-04
2025-10-17 10:42:17,770 - INFO:   Interval 0, Epoch 1500, Loss: 1.588e-03, LR: 7.94e-04
2025-10-17 10:42:18,484 - INFO:   Interval 0, Epoch 2000, Loss: 1.344e-03, LR: 6.55e-04
2025-10-17 10:42:19,248 - INFO:   Interval 0, Epoch 2500, Loss: 1.588e-03, LR: 5.00e-04
2025-10-17 10:42:19,980 - INFO:   Interval 0, Epoch 3000, Loss: 1.588e-03, LR: 3.46e-04
2025-10-17 10:42:20,710 - INFO:   Interval 0, Epoch 3500, Loss: 1.588e-03, LR: 2.07e-04
2025-10-17 10:42:21,488 - INFO:   Interval 0, Epoch 4000, Loss: 3.513e-04, LR: 9.62e-05
2025-10-17 10:42:22,251 - INFO:   Interval 0, Epoch 4500, Loss: 1.344e-03, LR: 2.54e-05
2025-10-17 10:42:23,084 - INFO:   Interval 0, Epoch 4999, Loss: 1.344e-03, LR: 1.00e-06
2025-10-17 10:42:23,085 - INFO: --- Training Interval[1]: (-5.890625, -3.953125) ---
2025-10-17 10:42:23,087 - INFO:   Interval 1, Epoch    0, Loss: 2.271e-03, LR: 1.00e-03
2025-10-17 10:42:23,810 - INFO:   Interval 1, Epoch  500, Loss: 1.156e-03, LR: 9.75e-04
2025-10-17 10:42:24,568 - INFO:   Interval 1, Epoch 1000, Loss: 1.027e-03, LR: 9.04e-04
2025-10-17 10:42:25,427 - INFO:   Interval 1, Epoch 1500, Loss: 1.027e-03, LR: 7.94e-04
2025-10-17 10:42:26,144 - INFO:   Interval 1, Epoch 2000, Loss: 9.623e-04, LR: 6.55e-04
