2025-10-17 10:50:32,780 - INFO: --- Training Interval[0]: (-8.0, -7.453125) ---
2025-10-17 10:50:32,782 - INFO:   Interval 0, Epoch    0, Loss: 5.378e-04, LR: 1.00e-03
2025-10-17 10:50:33,573 - INFO:   Interval 0, Epoch  500, Loss: 1.603e-03, LR: 9.75e-04
2025-10-17 10:50:34,324 - INFO:   Interval 0, Epoch 1000, Loss: 5.275e-04, LR: 9.04e-04
2025-10-17 10:50:35,104 - INFO:   Interval 0, Epoch 1500, Loss: 1.471e-03, LR: 7.94e-04
2025-10-17 10:50:35,830 - INFO:   Interval 0, Epoch 2000, Loss: 5.378e-04, LR: 6.55e-04
2025-10-17 10:50:36,709 - INFO:   Interval 0, Epoch 2500, Loss: 1.471e-03, LR: 5.00e-04
2025-10-17 10:50:37,663 - INFO:   Interval 0, Epoch 3000, Loss: 5.275e-04, LR: 3.46e-04
2025-10-17 10:50:38,448 - INFO:   Interval 0, Epoch 3500, Loss: 5.275e-04, LR: 2.07e-04
2025-10-17 10:50:39,274 - INFO:   Interval 0, Epoch 4000, Loss: 4.054e-04, LR: 9.62e-05
2025-10-17 10:50:40,075 - INFO:   Interval 0, Epoch 4500, Loss: 5.378e-04, LR: 2.54e-05
2025-10-17 10:50:40,877 - INFO:   Interval 0, Epoch 4999, Loss: 5.378e-04, LR: 1.00e-06
2025-10-17 10:50:40,877 - INFO: --- Training Interval[1]: (-7.453125, -6.0234375) ---
2025-10-17 10:50:40,880 - INFO:   Interval 1, Epoch    0, Loss: 6.761e-04, LR: 1.00e-03
2025-10-17 10:50:41,684 - INFO:   Interval 1, Epoch  500, Loss: 9.380e-04, LR: 9.75e-04
2025-10-17 10:50:42,485 - INFO:   Interval 1, Epoch 1000, Loss: 4.195e-04, LR: 9.04e-04
2025-10-17 10:50:43,315 - INFO:   Interval 1, Epoch 1500, Loss: 4.195e-04, LR: 7.94e-04
2025-10-17 10:50:44,111 - INFO:   Interval 1, Epoch 2000, Loss: 6.284e-04, LR: 6.55e-04
2025-10-17 10:50:44,893 - INFO:   Interval 1, Epoch 2500, Loss: 4.195e-04, LR: 5.00e-04
2025-10-17 10:50:45,669 - INFO:   Interval 1, Epoch 3000, Loss: 4.195e-04, LR: 3.46e-04
2025-10-17 10:50:46,443 - INFO:   Interval 1, Epoch 3500, Loss: 5.482e-04, LR: 2.07e-04
2025-10-17 10:50:47,269 - INFO:   Interval 1, Epoch 4000, Loss: 4.195e-04, LR: 9.62e-05
2025-10-17 10:50:48,042 - INFO:   Interval 1, Epoch 4500, Loss: 5.482e-04, LR: 2.54e-05
2025-10-17 10:50:48,789 - INFO:   Interval 1, Epoch 4999, Loss: 4.195e-04, LR: 1.00e-06
