2025-10-17 11:33:15,238 - INFO: --- Training Interval[0]: (0.5, 0.53125) ---
2025-10-17 11:33:15,242 - INFO:   Interval 0, Epoch    0, Loss: 2.306e-06, LR: 1.00e-03
2025-10-17 11:33:16,168 - INFO:   Interval 0, Epoch  500, Loss: 2.306e-06, LR: 9.75e-04
2025-10-17 11:33:16,955 - INFO:   Interval 0, Epoch 1000, Loss: 2.306e-06, LR: 9.04e-04
2025-10-17 11:33:17,856 - INFO:   Interval 0, Epoch 1500, Loss: 2.306e-06, LR: 7.94e-04
2025-10-17 11:33:18,690 - INFO:   Interval 0, Epoch 2000, Loss: 2.306e-06, LR: 6.55e-04
2025-10-17 11:33:19,557 - INFO:   Interval 0, Epoch 2500, Loss: 2.306e-06, LR: 5.00e-04
2025-10-17 11:33:20,325 - INFO:   Interval 0, Epoch 3000, Loss: 2.306e-06, LR: 3.46e-04
2025-10-17 11:33:21,066 - INFO:   Interval 0, Epoch 3500, Loss: 2.306e-06, LR: 2.07e-04
2025-10-17 11:33:21,939 - INFO:   Interval 0, Epoch 4000, Loss: 2.306e-06, LR: 9.62e-05
2025-10-17 11:33:22,792 - INFO:   Interval 0, Epoch 4500, Loss: 2.306e-06, LR: 2.54e-05
2025-10-17 11:33:23,641 - INFO:   Interval 0, Epoch 4999, Loss: 2.306e-06, LR: 1.00e-06
2025-10-17 11:33:23,641 - INFO: --- Training Interval[1]: (0.53125, 0.625) ---
2025-10-17 11:33:23,643 - INFO:   Interval 1, Epoch    0, Loss: 1.239e-05, LR: 1.00e-03
2025-10-17 11:33:24,386 - INFO:   Interval 1, Epoch  500, Loss: 3.093e-04, LR: 9.75e-04
2025-10-17 11:33:25,179 - INFO:   Interval 1, Epoch 1000, Loss: 1.239e-05, LR: 9.04e-04
2025-10-17 11:33:25,913 - INFO:   Interval 1, Epoch 1500, Loss: 1.239e-05, LR: 7.94e-04
2025-10-17 11:33:26,665 - INFO:   Interval 1, Epoch 2000, Loss: 1.239e-05, LR: 6.55e-04
2025-10-17 11:33:27,420 - INFO:   Interval 1, Epoch 2500, Loss: 1.239e-05, LR: 5.00e-04
2025-10-17 11:33:28,221 - INFO:   Interval 1, Epoch 3000, Loss: 1.239e-05, LR: 3.46e-04
2025-10-17 11:33:29,001 - INFO:   Interval 1, Epoch 3500, Loss: 1.239e-05, LR: 2.07e-04
2025-10-17 11:33:29,806 - INFO:   Interval 1, Epoch 4000, Loss: 1.239e-05, LR: 9.62e-05
2025-10-17 11:33:30,557 - INFO:   Interval 1, Epoch 4500, Loss: 1.239e-05, LR: 2.54e-05
