2025-10-17 11:45:57,621 - INFO: --- Training Interval[0]: (-4.0, -3.46875) ---
2025-10-17 11:45:57,624 - INFO:   Interval 0, Epoch    0, Loss: 2.823e-09, LR: 1.00e-03
2025-10-17 11:45:58,404 - INFO:   Interval 0, Epoch  500, Loss: 2.574e-07, LR: 9.75e-04
2025-10-17 11:45:59,236 - INFO:   Interval 0, Epoch 1000, Loss: 2.574e-07, LR: 9.04e-04
2025-10-17 11:46:00,069 - INFO:   Interval 0, Epoch 1500, Loss: 2.823e-09, LR: 7.94e-04
2025-10-17 11:46:00,944 - INFO:   Interval 0, Epoch 2000, Loss: 3.271e-06, LR: 6.55e-04
2025-10-17 11:46:01,713 - INFO:   Interval 0, Epoch 2500, Loss: 2.574e-07, LR: 5.00e-04
2025-10-17 11:46:02,492 - INFO:   Interval 0, Epoch 3000, Loss: 2.574e-07, LR: 3.46e-04
2025-10-17 11:46:03,267 - INFO:   Interval 0, Epoch 3500, Loss: 2.823e-09, LR: 2.07e-04
2025-10-17 11:46:04,100 - INFO:   Interval 0, Epoch 4000, Loss: 2.823e-09, LR: 9.62e-05
2025-10-17 11:46:04,866 - INFO:   Interval 0, Epoch 4500, Loss: 2.823e-09, LR: 2.54e-05
2025-10-17 11:46:05,627 - INFO:   Interval 0, Epoch 4999, Loss: 2.823e-09, LR: 1.00e-06
2025-10-17 11:46:05,628 - INFO: --- Training Interval[1]: (-3.46875, -2.875) ---
2025-10-17 11:46:05,631 - INFO:   Interval 1, Epoch    0, Loss: 1.480e-07, LR: 1.00e-03
2025-10-17 11:46:06,427 - INFO:   Interval 1, Epoch  500, Loss: 6.127e-07, LR: 9.75e-04
2025-10-17 11:46:07,268 - INFO:   Interval 1, Epoch 1000, Loss: 1.560e-06, LR: 9.04e-04
2025-10-17 11:46:08,063 - INFO:   Interval 1, Epoch 1500, Loss: 7.591e-07, LR: 7.94e-04
2025-10-17 11:46:08,839 - INFO:   Interval 1, Epoch 2000, Loss: 1.943e-07, LR: 6.55e-04
2025-10-17 11:46:09,600 - INFO:   Interval 1, Epoch 2500, Loss: 7.591e-07, LR: 5.00e-04
2025-10-17 11:46:10,384 - INFO:   Interval 1, Epoch 3000, Loss: 1.943e-07, LR: 3.46e-04
2025-10-17 11:46:11,161 - INFO:   Interval 1, Epoch 3500, Loss: 1.943e-07, LR: 2.07e-04
2025-10-17 11:46:11,967 - INFO:   Interval 1, Epoch 4000, Loss: 1.943e-07, LR: 9.62e-05
2025-10-17 11:46:12,705 - INFO:   Interval 1, Epoch 4500, Loss: 1.943e-07, LR: 2.54e-05
2025-10-17 11:46:13,471 - INFO:   Interval 1, Epoch 4999, Loss: 1.943e-07, LR: 1.00e-06
2025-10-17 11:46:13,471 - INFO: --- Training Interval[2]: (-2.875, -2.46875) ---
2025-10-17 11:46:13,473 - INFO:   Interval 2, Epoch    0, Loss: 4.122e-07, LR: 1.00e-03
2025-10-17 11:46:14,233 - INFO:   Interval 2, Epoch  500, Loss: 1.455e-07, LR: 9.75e-04
2025-10-17 11:46:15,040 - INFO:   Interval 2, Epoch 1000, Loss: 6.285e-06, LR: 9.04e-04
2025-10-17 11:46:15,836 - INFO:   Interval 2, Epoch 1500, Loss: 1.455e-07, LR: 7.94e-04
2025-10-17 11:46:16,655 - INFO:   Interval 2, Epoch 2000, Loss: 1.455e-07, LR: 6.55e-04
2025-10-17 11:46:17,445 - INFO:   Interval 2, Epoch 2500, Loss: 1.455e-07, LR: 5.00e-04
2025-10-17 11:46:18,237 - INFO:   Interval 2, Epoch 3000, Loss: 1.455e-07, LR: 3.46e-04
2025-10-17 11:46:19,023 - INFO:   Interval 2, Epoch 3500, Loss: 8.469e-07, LR: 2.07e-04
2025-10-17 11:46:19,791 - INFO:   Interval 2, Epoch 4000, Loss: 1.455e-07, LR: 9.62e-05
2025-10-17 11:46:20,647 - INFO:   Interval 2, Epoch 4500, Loss: 1.455e-07, LR: 2.54e-05
2025-10-17 11:46:21,396 - INFO:   Interval 2, Epoch 4999, Loss: 1.455e-07, LR: 1.00e-06
2025-10-17 11:46:21,396 - INFO: --- Training Interval[3]: (-2.46875, -2.09375) ---
2025-10-17 11:46:21,398 - INFO:   Interval 3, Epoch    0, Loss: 8.568e-07, LR: 1.00e-03
2025-10-17 11:46:22,217 - INFO:   Interval 3, Epoch  500, Loss: 1.107e-05, LR: 9.75e-04
2025-10-17 11:46:22,932 - INFO:   Interval 3, Epoch 1000, Loss: 2.054e-06, LR: 9.04e-04
2025-10-17 11:46:23,720 - INFO:   Interval 3, Epoch 1500, Loss: 2.054e-06, LR: 7.94e-04
2025-10-17 11:46:24,483 - INFO:   Interval 3, Epoch 2000, Loss: 2.054e-06, LR: 6.55e-04
2025-10-17 11:46:25,252 - INFO:   Interval 3, Epoch 2500, Loss: 6.702e-07, LR: 5.00e-04
2025-10-17 11:46:26,083 - INFO:   Interval 3, Epoch 3000, Loss: 6.702e-07, LR: 3.46e-04
2025-10-17 11:46:26,902 - INFO:   Interval 3, Epoch 3500, Loss: 2.054e-06, LR: 2.07e-04
2025-10-17 11:46:27,676 - INFO:   Interval 3, Epoch 4000, Loss: 6.702e-07, LR: 9.62e-05
2025-10-17 11:46:28,474 - INFO:   Interval 3, Epoch 4500, Loss: 2.054e-06, LR: 2.54e-05
2025-10-17 11:46:29,276 - INFO:   Interval 3, Epoch 4999, Loss: 6.702e-07, LR: 1.00e-06
2025-10-17 11:46:29,276 - INFO: --- Training Interval[4]: (-2.09375, -1.8125) ---
2025-10-17 11:46:29,278 - INFO:   Interval 4, Epoch    0, Loss: 1.353e-06, LR: 1.00e-03
2025-10-17 11:46:30,048 - INFO:   Interval 4, Epoch  500, Loss: 7.962e-07, LR: 9.75e-04
2025-10-17 11:46:30,794 - INFO:   Interval 4, Epoch 1000, Loss: 1.353e-06, LR: 9.04e-04
2025-10-17 11:46:31,583 - INFO:   Interval 4, Epoch 1500, Loss: 7.962e-07, LR: 7.94e-04
2025-10-17 11:46:32,388 - INFO:   Interval 4, Epoch 2000, Loss: 7.869e-06, LR: 6.55e-04
2025-10-17 11:46:33,137 - INFO:   Interval 4, Epoch 2500, Loss: 7.869e-06, LR: 5.00e-04
2025-10-17 11:46:33,894 - INFO:   Interval 4, Epoch 3000, Loss: 9.928e-07, LR: 3.46e-04
2025-10-17 11:46:34,662 - INFO:   Interval 4, Epoch 3500, Loss: 1.192e-06, LR: 2.07e-04
2025-10-17 11:46:35,414 - INFO:   Interval 4, Epoch 4000, Loss: 1.192e-06, LR: 9.62e-05
2025-10-17 11:46:36,223 - INFO:   Interval 4, Epoch 4500, Loss: 9.928e-07, LR: 2.54e-05
2025-10-17 11:46:37,158 - INFO:   Interval 4, Epoch 4999, Loss: 9.928e-07, LR: 1.00e-06
2025-10-17 11:46:37,158 - INFO: --- Training Interval[5]: (-1.8125, -0.84375) ---
2025-10-17 11:46:37,160 - INFO:   Interval 5, Epoch    0, Loss: 6.975e-05, LR: 1.00e-03
2025-10-17 11:46:37,996 - INFO:   Interval 5, Epoch  500, Loss: 1.215e-05, LR: 9.75e-04
2025-10-17 11:46:38,943 - INFO:   Interval 5, Epoch 1000, Loss: 1.215e-05, LR: 9.04e-04
2025-10-17 11:46:39,721 - INFO:   Interval 5, Epoch 1500, Loss: 1.279e-05, LR: 7.94e-04
2025-10-17 11:46:40,462 - INFO:   Interval 5, Epoch 2000, Loss: 1.215e-05, LR: 6.55e-04
2025-10-17 11:46:41,233 - INFO:   Interval 5, Epoch 2500, Loss: 1.279e-05, LR: 5.00e-04
2025-10-17 11:46:41,983 - INFO:   Interval 5, Epoch 3000, Loss: 1.215e-05, LR: 3.46e-04
2025-10-17 11:46:42,711 - INFO:   Interval 5, Epoch 3500, Loss: 1.279e-05, LR: 2.07e-04
2025-10-17 11:46:43,499 - INFO:   Interval 5, Epoch 4000, Loss: 1.215e-05, LR: 9.62e-05
2025-10-17 11:46:44,217 - INFO:   Interval 5, Epoch 4500, Loss: 1.279e-05, LR: 2.54e-05
2025-10-17 11:46:44,985 - INFO:   Interval 5, Epoch 4999, Loss: 1.279e-05, LR: 1.00e-06
2025-10-17 11:46:44,986 - INFO: --- Training Interval[6]: (-0.84375, -0.40625) ---
