2025-10-17 11:25:54,574 - INFO: --- Training Interval[0]: (-4.0, -3.90625) ---
2025-10-17 11:25:54,578 - INFO:   Interval 0, Epoch    0, Loss: 0.000e+00, LR: 1.00e-03
2025-10-17 11:25:55,339 - INFO:   Interval 0, Epoch  500, Loss: 0.000e+00, LR: 9.75e-04
2025-10-17 11:25:56,122 - INFO:   Interval 0, Epoch 1000, Loss: 0.000e+00, LR: 9.04e-04
2025-10-17 11:25:56,887 - INFO:   Interval 0, Epoch 1500, Loss: 0.000e+00, LR: 7.94e-04
2025-10-17 11:25:57,614 - INFO:   Interval 0, Epoch 2000, Loss: 0.000e+00, LR: 6.55e-04
2025-10-17 11:25:58,435 - INFO:   Interval 0, Epoch 2500, Loss: 0.000e+00, LR: 5.00e-04
2025-10-17 11:25:59,187 - INFO:   Interval 0, Epoch 3000, Loss: 0.000e+00, LR: 3.46e-04
2025-10-17 11:25:59,923 - INFO:   Interval 0, Epoch 3500, Loss: 0.000e+00, LR: 2.07e-04
2025-10-17 11:26:00,662 - INFO:   Interval 0, Epoch 4000, Loss: 0.000e+00, LR: 9.62e-05
2025-10-17 11:26:01,432 - INFO:   Interval 0, Epoch 4500, Loss: 0.000e+00, LR: 2.54e-05
2025-10-17 11:26:02,211 - INFO:   Interval 0, Epoch 4999, Loss: 0.000e+00, LR: 1.00e-06
2025-10-17 11:26:02,212 - INFO: --- Training Interval[1]: (-3.90625, -3.03125) ---
2025-10-17 11:26:02,214 - INFO:   Interval 1, Epoch    0, Loss: 0.000e+00, LR: 1.00e-03
2025-10-17 11:26:02,984 - INFO:   Interval 1, Epoch  500, Loss: 0.000e+00, LR: 9.75e-04
2025-10-17 11:26:03,694 - INFO:   Interval 1, Epoch 1000, Loss: 0.000e+00, LR: 9.04e-04
2025-10-17 11:26:04,457 - INFO:   Interval 1, Epoch 1500, Loss: 0.000e+00, LR: 7.94e-04
2025-10-17 11:26:05,182 - INFO:   Interval 1, Epoch 2000, Loss: 0.000e+00, LR: 6.55e-04
2025-10-17 11:26:06,045 - INFO:   Interval 1, Epoch 2500, Loss: 0.000e+00, LR: 5.00e-04
2025-10-17 11:26:06,879 - INFO:   Interval 1, Epoch 3000, Loss: 0.000e+00, LR: 3.46e-04
2025-10-17 11:26:07,725 - INFO:   Interval 1, Epoch 3500, Loss: 0.000e+00, LR: 2.07e-04
2025-10-17 11:26:08,578 - INFO:   Interval 1, Epoch 4000, Loss: 0.000e+00, LR: 9.62e-05
2025-10-17 11:26:09,292 - INFO:   Interval 1, Epoch 4500, Loss: 0.000e+00, LR: 2.54e-05
2025-10-17 11:26:10,072 - INFO:   Interval 1, Epoch 4999, Loss: 0.000e+00, LR: 1.00e-06
2025-10-17 11:26:10,072 - INFO: --- Training Interval[2]: (-3.03125, -2.5) ---
2025-10-17 11:26:10,074 - INFO:   Interval 2, Epoch    0, Loss: 3.285e-05, LR: 1.00e-03
2025-10-17 11:26:10,917 - INFO:   Interval 2, Epoch  500, Loss: 3.285e-05, LR: 9.75e-04
2025-10-17 11:26:11,634 - INFO:   Interval 2, Epoch 1000, Loss: 3.285e-05, LR: 9.04e-04
2025-10-17 11:26:12,375 - INFO:   Interval 2, Epoch 1500, Loss: 3.583e-04, LR: 7.94e-04
2025-10-17 11:26:13,160 - INFO:   Interval 2, Epoch 2000, Loss: 3.285e-05, LR: 6.55e-04
2025-10-17 11:26:13,869 - INFO:   Interval 2, Epoch 2500, Loss: 3.285e-05, LR: 5.00e-04
2025-10-17 11:26:14,670 - INFO:   Interval 2, Epoch 3000, Loss: 3.285e-05, LR: 3.46e-04
2025-10-17 11:26:15,474 - INFO:   Interval 2, Epoch 3500, Loss: 3.285e-05, LR: 2.07e-04
2025-10-17 11:26:16,224 - INFO:   Interval 2, Epoch 4000, Loss: 3.285e-05, LR: 9.62e-05
2025-10-17 11:26:17,047 - INFO:   Interval 2, Epoch 4500, Loss: 3.583e-04, LR: 2.54e-05
2025-10-17 11:26:17,813 - INFO:   Interval 2, Epoch 4999, Loss: 3.583e-04, LR: 1.00e-06
2025-10-17 11:26:17,813 - INFO: --- Training Interval[3]: (-2.5, -2.0) ---
2025-10-17 11:26:17,815 - INFO:   Interval 3, Epoch    0, Loss: 2.846e-05, LR: 1.00e-03
2025-10-17 11:26:18,535 - INFO:   Interval 3, Epoch  500, Loss: 1.864e-04, LR: 9.75e-04
2025-10-17 11:26:19,247 - INFO:   Interval 3, Epoch 1000, Loss: 4.047e-05, LR: 9.04e-04
2025-10-17 11:26:19,999 - INFO:   Interval 3, Epoch 1500, Loss: 1.572e-04, LR: 7.94e-04
2025-10-17 11:26:20,779 - INFO:   Interval 3, Epoch 2000, Loss: 4.047e-05, LR: 6.55e-04
2025-10-17 11:26:21,534 - INFO:   Interval 3, Epoch 2500, Loss: 4.047e-05, LR: 5.00e-04
2025-10-17 11:26:22,316 - INFO:   Interval 3, Epoch 3000, Loss: 4.047e-05, LR: 3.46e-04
2025-10-17 11:26:23,107 - INFO:   Interval 3, Epoch 3500, Loss: 4.047e-05, LR: 2.07e-04
2025-10-17 11:26:23,844 - INFO:   Interval 3, Epoch 4000, Loss: 4.047e-05, LR: 9.62e-05
2025-10-17 11:26:24,593 - INFO:   Interval 3, Epoch 4500, Loss: 4.047e-05, LR: 2.54e-05
2025-10-17 11:26:25,341 - INFO:   Interval 3, Epoch 4999, Loss: 4.047e-05, LR: 1.00e-06
2025-10-17 11:26:25,341 - INFO: --- Training Interval[4]: (-2.0, -1.5) ---
2025-10-17 11:26:25,343 - INFO:   Interval 4, Epoch    0, Loss: 3.142e-05, LR: 1.00e-03
2025-10-17 11:26:26,060 - INFO:   Interval 4, Epoch  500, Loss: 1.499e-05, LR: 9.75e-04
2025-10-17 11:26:26,789 - INFO:   Interval 4, Epoch 1000, Loss: 1.420e-04, LR: 9.04e-04
2025-10-17 11:26:27,525 - INFO:   Interval 4, Epoch 1500, Loss: 1.499e-05, LR: 7.94e-04
2025-10-17 11:26:28,270 - INFO:   Interval 4, Epoch 2000, Loss: 1.499e-05, LR: 6.55e-04
2025-10-17 11:26:28,996 - INFO:   Interval 4, Epoch 2500, Loss: 1.499e-05, LR: 5.00e-04
2025-10-17 11:26:29,761 - INFO:   Interval 4, Epoch 3000, Loss: 1.420e-04, LR: 3.46e-04
2025-10-17 11:26:30,501 - INFO:   Interval 4, Epoch 3500, Loss: 1.420e-04, LR: 2.07e-04
