2025-10-17 11:12:16,652 - INFO: --- Training Interval[0]: (-8.0, -5.5625) ---
2025-10-17 11:12:16,654 - INFO:   Interval 0, Epoch    0, Loss: 1.352e-05, LR: 1.00e-03
2025-10-17 11:12:17,397 - INFO:   Interval 0, Epoch  500, Loss: 7.330e-06, LR: 9.75e-04
2025-10-17 11:12:18,113 - INFO:   Interval 0, Epoch 1000, Loss: 2.446e-05, LR: 9.04e-04
2025-10-17 11:12:18,846 - INFO:   Interval 0, Epoch 1500, Loss: 7.330e-06, LR: 7.94e-04
2025-10-17 11:12:19,603 - INFO:   Interval 0, Epoch 2000, Loss: 3.045e-06, LR: 6.55e-04
2025-10-17 11:12:20,295 - INFO:   Interval 0, Epoch 2500, Loss: 7.330e-06, LR: 5.00e-04
2025-10-17 11:12:21,040 - INFO:   Interval 0, Epoch 3000, Loss: 7.330e-06, LR: 3.46e-04
2025-10-17 11:12:21,919 - INFO:   Interval 0, Epoch 3500, Loss: 7.330e-06, LR: 2.07e-04
2025-10-17 11:12:22,716 - INFO:   Interval 0, Epoch 4000, Loss: 2.446e-05, LR: 9.62e-05
2025-10-17 11:12:23,455 - INFO:   Interval 0, Epoch 4500, Loss: 2.446e-05, LR: 2.54e-05
2025-10-17 11:12:24,203 - INFO:   Interval 0, Epoch 4999, Loss: 3.045e-06, LR: 1.00e-06
2025-10-17 11:12:24,203 - INFO: --- Training Interval[1]: (-5.5625, -3.6875) ---
2025-10-17 11:12:24,205 - INFO:   Interval 1, Epoch    0, Loss: 3.041e-06, LR: 1.00e-03
2025-10-17 11:12:24,934 - INFO:   Interval 1, Epoch  500, Loss: 2.120e-06, LR: 9.75e-04
2025-10-17 11:12:25,688 - INFO:   Interval 1, Epoch 1000, Loss: 2.209e-06, LR: 9.04e-04
2025-10-17 11:12:26,433 - INFO:   Interval 1, Epoch 1500, Loss: 2.120e-06, LR: 7.94e-04
2025-10-17 11:12:27,169 - INFO:   Interval 1, Epoch 2000, Loss: 2.209e-06, LR: 6.55e-04
2025-10-17 11:12:27,957 - INFO:   Interval 1, Epoch 2500, Loss: 2.120e-06, LR: 5.00e-04
2025-10-17 11:12:28,761 - INFO:   Interval 1, Epoch 3000, Loss: 2.120e-06, LR: 3.46e-04
2025-10-17 11:12:29,530 - INFO:   Interval 1, Epoch 3500, Loss: 2.120e-06, LR: 2.07e-04
2025-10-17 11:12:30,348 - INFO:   Interval 1, Epoch 4000, Loss: 2.120e-06, LR: 9.62e-05
2025-10-17 11:12:31,141 - INFO:   Interval 1, Epoch 4500, Loss: 2.209e-06, LR: 2.54e-05
2025-10-17 11:12:31,903 - INFO:   Interval 1, Epoch 4999, Loss: 2.209e-06, LR: 1.00e-06
2025-10-17 11:12:31,903 - INFO: --- Training Interval[2]: (-3.6875, -2.625) ---
2025-10-17 11:12:31,905 - INFO:   Interval 2, Epoch    0, Loss: 1.279e-05, LR: 1.00e-03
2025-10-17 11:12:32,751 - INFO:   Interval 2, Epoch  500, Loss: 2.620e-05, LR: 9.75e-04
2025-10-17 11:12:33,464 - INFO:   Interval 2, Epoch 1000, Loss: 5.407e-06, LR: 9.04e-04
2025-10-17 11:12:34,239 - INFO:   Interval 2, Epoch 1500, Loss: 5.407e-06, LR: 7.94e-04
2025-10-17 11:12:34,977 - INFO:   Interval 2, Epoch 2000, Loss: 5.407e-06, LR: 6.55e-04
2025-10-17 11:12:35,755 - INFO:   Interval 2, Epoch 2500, Loss: 5.407e-06, LR: 5.00e-04
2025-10-17 11:12:36,581 - INFO:   Interval 2, Epoch 3000, Loss: 3.754e-06, LR: 3.46e-04
2025-10-17 11:12:37,314 - INFO:   Interval 2, Epoch 3500, Loss: 4.863e-05, LR: 2.07e-04
2025-10-17 11:12:38,037 - INFO:   Interval 2, Epoch 4000, Loss: 3.754e-06, LR: 9.62e-05
2025-10-17 11:12:38,821 - INFO:   Interval 2, Epoch 4500, Loss: 5.407e-06, LR: 2.54e-05
2025-10-17 11:12:39,597 - INFO:   Interval 2, Epoch 4999, Loss: 3.754e-06, LR: 1.00e-06
2025-10-17 11:12:39,597 - INFO: --- Training Interval[3]: (-2.625, -1.875) ---
2025-10-17 11:12:39,599 - INFO:   Interval 3, Epoch    0, Loss: 7.510e-06, LR: 1.00e-03
2025-10-17 11:12:40,398 - INFO:   Interval 3, Epoch  500, Loss: 1.117e-05, LR: 9.75e-04
2025-10-17 11:12:41,141 - INFO:   Interval 3, Epoch 1000, Loss: 7.209e-06, LR: 9.04e-04
2025-10-17 11:12:41,881 - INFO:   Interval 3, Epoch 1500, Loss: 1.117e-05, LR: 7.94e-04
2025-10-17 11:12:42,619 - INFO:   Interval 3, Epoch 2000, Loss: 7.209e-06, LR: 6.55e-04
2025-10-17 11:12:43,355 - INFO:   Interval 3, Epoch 2500, Loss: 1.117e-05, LR: 5.00e-04
2025-10-17 11:12:44,144 - INFO:   Interval 3, Epoch 3000, Loss: 1.117e-05, LR: 3.46e-04
2025-10-17 11:12:44,874 - INFO:   Interval 3, Epoch 3500, Loss: 1.117e-05, LR: 2.07e-04
2025-10-17 11:12:45,635 - INFO:   Interval 3, Epoch 4000, Loss: 1.117e-05, LR: 9.62e-05
2025-10-17 11:12:46,402 - INFO:   Interval 3, Epoch 4500, Loss: 7.209e-06, LR: 2.54e-05
2025-10-17 11:12:47,114 - INFO:   Interval 3, Epoch 4999, Loss: 1.117e-05, LR: 1.00e-06
2025-10-17 11:12:47,114 - INFO: --- Training Interval[4]: (-1.875, -1.3125) ---
2025-10-17 11:12:47,116 - INFO:   Interval 4, Epoch    0, Loss: 9.569e-05, LR: 1.00e-03
2025-10-17 11:12:47,866 - INFO:   Interval 4, Epoch  500, Loss: 8.678e-06, LR: 9.75e-04
2025-10-17 11:12:48,606 - INFO:   Interval 4, Epoch 1000, Loss: 1.232e-04, LR: 9.04e-04
2025-10-17 11:12:49,332 - INFO:   Interval 4, Epoch 1500, Loss: 8.678e-06, LR: 7.94e-04
2025-10-17 11:12:50,095 - INFO:   Interval 4, Epoch 2000, Loss: 8.678e-06, LR: 6.55e-04
2025-10-17 11:12:50,841 - INFO:   Interval 4, Epoch 2500, Loss: 8.678e-06, LR: 5.00e-04
2025-10-17 11:12:51,631 - INFO:   Interval 4, Epoch 3000, Loss: 8.678e-06, LR: 3.46e-04
2025-10-17 11:12:52,408 - INFO:   Interval 4, Epoch 3500, Loss: 8.678e-06, LR: 2.07e-04
2025-10-17 11:12:53,172 - INFO:   Interval 4, Epoch 4000, Loss: 8.678e-06, LR: 9.62e-05
