2025-10-17 11:17:25,297 - INFO: --- Training Interval[0]: (0.25, 0.28125) ---
2025-10-17 11:17:25,300 - INFO:   Interval 0, Epoch    0, Loss: 3.740e-05, LR: 1.00e-03
2025-10-17 11:17:26,085 - INFO:   Interval 0, Epoch  500, Loss: 6.347e-04, LR: 9.75e-04
2025-10-17 11:17:26,856 - INFO:   Interval 0, Epoch 1000, Loss: 3.740e-05, LR: 9.04e-04
2025-10-17 11:17:27,596 - INFO:   Interval 0, Epoch 1500, Loss: 5.635e-06, LR: 7.94e-04
2025-10-17 11:17:28,389 - INFO:   Interval 0, Epoch 2000, Loss: 5.635e-06, LR: 6.55e-04
2025-10-17 11:17:29,143 - INFO:   Interval 0, Epoch 2500, Loss: 5.635e-06, LR: 5.00e-04
2025-10-17 11:17:29,895 - INFO:   Interval 0, Epoch 3000, Loss: 5.635e-06, LR: 3.46e-04
2025-10-17 11:17:30,652 - INFO:   Interval 0, Epoch 3500, Loss: 3.740e-05, LR: 2.07e-04
2025-10-17 11:17:31,432 - INFO:   Interval 0, Epoch 4000, Loss: 5.635e-06, LR: 9.62e-05
2025-10-17 11:17:32,304 - INFO:   Interval 0, Epoch 4500, Loss: 5.635e-06, LR: 2.54e-05
2025-10-17 11:17:33,090 - INFO:   Interval 0, Epoch 4999, Loss: 5.635e-06, LR: 1.00e-06
2025-10-17 11:17:33,090 - INFO: --- Training Interval[1]: (0.28125, 0.375) ---
2025-10-17 11:17:33,092 - INFO:   Interval 1, Epoch    0, Loss: 6.005e-04, LR: 1.00e-03
2025-10-17 11:17:33,861 - INFO:   Interval 1, Epoch  500, Loss: 6.005e-04, LR: 9.75e-04
2025-10-17 11:17:34,645 - INFO:   Interval 1, Epoch 1000, Loss: 6.659e-05, LR: 9.04e-04
2025-10-17 11:17:35,409 - INFO:   Interval 1, Epoch 1500, Loss: 6.659e-05, LR: 7.94e-04
2025-10-17 11:17:36,162 - INFO:   Interval 1, Epoch 2000, Loss: 6.659e-05, LR: 6.55e-04
2025-10-17 11:17:36,933 - INFO:   Interval 1, Epoch 2500, Loss: 2.691e-05, LR: 5.00e-04
2025-10-17 11:17:37,693 - INFO:   Interval 1, Epoch 3000, Loss: 2.691e-05, LR: 3.46e-04
2025-10-17 11:17:38,458 - INFO:   Interval 1, Epoch 3500, Loss: 6.659e-05, LR: 2.07e-04
2025-10-17 11:17:39,250 - INFO:   Interval 1, Epoch 4000, Loss: 2.691e-05, LR: 9.62e-05
2025-10-17 11:17:40,089 - INFO:   Interval 1, Epoch 4500, Loss: 2.691e-05, LR: 2.54e-05
2025-10-17 11:17:40,870 - INFO:   Interval 1, Epoch 4999, Loss: 2.691e-05, LR: 1.00e-06
2025-10-17 11:17:40,871 - INFO: --- Training Interval[2]: (0.375, 0.5) ---
2025-10-17 11:17:40,873 - INFO:   Interval 2, Epoch    0, Loss: 1.242e-05, LR: 1.00e-03
2025-10-17 11:17:41,696 - INFO:   Interval 2, Epoch  500, Loss: 1.242e-05, LR: 9.75e-04
2025-10-17 11:17:42,494 - INFO:   Interval 2, Epoch 1000, Loss: 1.242e-05, LR: 9.04e-04
2025-10-17 11:17:43,229 - INFO:   Interval 2, Epoch 1500, Loss: 1.242e-05, LR: 7.94e-04
2025-10-17 11:17:44,040 - INFO:   Interval 2, Epoch 2000, Loss: 1.242e-05, LR: 6.55e-04
2025-10-17 11:17:44,795 - INFO:   Interval 2, Epoch 2500, Loss: 1.242e-05, LR: 5.00e-04
2025-10-17 11:17:45,575 - INFO:   Interval 2, Epoch 3000, Loss: 1.242e-05, LR: 3.46e-04
2025-10-17 11:17:46,352 - INFO:   Interval 2, Epoch 3500, Loss: 1.242e-05, LR: 2.07e-04
2025-10-17 11:17:47,081 - INFO:   Interval 2, Epoch 4000, Loss: 1.242e-05, LR: 9.62e-05
2025-10-17 11:17:47,855 - INFO:   Interval 2, Epoch 4500, Loss: 1.242e-05, LR: 2.54e-05
